month,gcc_name_2021,dwelling_type,average_rent,median_rent,rent_25pc,rent_75pc
Jan 2016,Greater Sydney,F,547.5719298245614,510,410,620
Jan 2016,Greater Sydney,H,623.069514237856,520,430,680
Jan 2016,Greater Sydney,O,423.4092664092664,350,300,450
Jan 2016,Greater Sydney,T,597.8295302013423,530,420,700
Jan 2016,Greater Sydney,U,534.0638655462185,470,385,592.5
Jan 2016,Rest of NSW,F,280.78452685421996,260,200,325
Jan 2016,Rest of NSW,H,366.4406779661017,350,286,420
Jan 2016,Rest of NSW,O,306.4913793103448,292.5,217.5,360
Jan 2016,Rest of NSW,T,375.2955082742317,360,300,430
Jan 2016,Rest of NSW,U,338.6965317919075,330,250,400
Feb 2016,Greater Sydney,F,556.8942366272694,520,420,640
Feb 2016,Greater Sydney,H,623.2288723349602,530,430,700
Feb 2016,Greater Sydney,O,412.6157517899761,395,300,464.5
Feb 2016,Greater Sydney,T,626.4014336917563,570,450,730
Feb 2016,Greater Sydney,U,575.4731977818853,520,420,650
Feb 2016,Rest of NSW,F,293.48913506604174,270,215,340
Feb 2016,Rest of NSW,H,372.65560066873655,350,290,430
Feb 2016,Rest of NSW,O,276.77064220183485,250,170.75,350
Feb 2016,Rest of NSW,T,367.71188811188813,350,300,420
Feb 2016,Rest of NSW,U,346.0385395537525,330,260,400
Mar 2016,Greater Sydney,F,559.6818353236957,520,420,650
Mar 2016,Greater Sydney,H,606.4498179927197,520,430,680
Mar 2016,Greater Sydney,O,401.0998389694042,370,320,450
Mar 2016,Greater Sydney,T,623.269465648855,560,440,740
Mar 2016,Greater Sydney,U,546.2239488117002,495,395,628.75
Mar 2016,Rest of NSW,F,279.6500222915738,260,200,330
Mar 2016,Rest of NSW,H,362.9731917046029,350,280,420
Mar 2016,Rest of NSW,O,262.76171875,220,170,320
Mar 2016,Rest of NSW,T,374.2918032786885,360,300,420
Mar 2016,Rest of NSW,U,334.82675438596493,320,240,395
Apr 2016,Greater Sydney,F,558.7286633309507,520,420,645
Apr 2016,Greater Sydney,H,598.5465803546299,510,430,660
Apr 2016,Greater Sydney,O,406.5990675990676,400,300,480
Apr 2016,Greater Sydney,T,617.9516666666667,550,450,720
Apr 2016,Greater Sydney,U,549.0709359605911,500,396,630
Apr 2016,Rest of NSW,F,276.8130283441074,260,200,320
Apr 2016,Rest of NSW,H,362.0974658869396,350,280,420
Apr 2016,Rest of NSW,O,275.0833333333333,275,173.75,360
Apr 2016,Rest of NSW,T,372.1374045801527,360,300,430
Apr 2016,Rest of NSW,U,326.32832618025753,320,230,385
May 2016,Greater Sydney,F,551.7252227171492,520,410,635
May 2016,Greater Sydney,H,599.5824742268042,517.5,420,650
May 2016,Greater Sydney,O,414.7813688212928,385,340,474
May 2016,Greater Sydney,T,628.842776203966,580,450,740
May 2016,Greater Sydney,U,570.7290116896918,490,395,650
May 2016,Rest of NSW,F,276.67291857273557,250,200,325
May 2016,Rest of NSW,H,362.7184926378837,350,280,420
May 2016,Rest of NSW,O,277.78723404255317,270,175,350
May 2016,Rest of NSW,T,379.51107325383305,365,300,435
May 2016,Rest of NSW,U,330.6674364896074,320,245,395
